customer_id,customer_name,latitude,longitude,Thursday,Tuesday,Wednesday,Total_Pallets
5104367409,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104367410,PS 43X Jonas Bronck Academy,40.806351,-73.921196,0.0,1.0,0.0,1.0
5104367411,Part of the Solution (POTS),40.865649,-73.886421,0.0,1.0,0.0,1.0
5104367412,KHCC Food Pantry,40.877505,-73.90033,0.0,1.0,0.0,1.0
5104367413,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370538,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370541,Church of St. Nicholas of Tolentine,40.861503,-73.906077,0.0,1.0,0.0,1.0
5104370542,"The Lehman College Association, Herbert H. Lehman",40.87161647,-73.89471529,0.0,1.0,0.0,1.0
5104370543,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370544,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370545,Khalil Gibran International Academy,40.686499,-73.979649,0.0,1.0,0.0,1.0
5104370546,St. Philip's Episcopal,40.681486,-73.933169,0.0,1.0,0.0,1.0
5104370547,Church of God Feeding Hungry,40.672378,-73.960994,0.0,1.0,0.0,1.0
5104370548,St. Clement's Food Pantry,40.761355,-73.991607,0.0,1.0,0.0,1.0
5104370549,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370550,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370551,St. Luke's Senior Community Program,40.885043,-73.859564,0.0,1.0,0.0,1.0
5104370552,Immaculate Conception Church,40.876735,-73.864435,0.0,1.0,0.0,1.0
5104370553,Co-Op City Seventh Day Adventist Church,40.880211,-73.831498,0.0,1.0,0.0,1.0
5104370554,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370555,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370556,Christ Jesus Baptist Church,40.809409,-73.907429,0.0,1.0,0.0,1.0
5104370557,Christ Apostolic Church WOSEM,40.855629,-73.894076,0.0,1.0,0.0,1.0
5104370558,Iglesia De Dios Pentecostal,40.888019,-73.831301,0.0,1.0,0.0,1.0
5104370559,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370560,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370561,Project Hospitality Inc.,40.625166,-74.079365,0.0,1.0,0.0,1.0
5104370562,The Salvation Army Sunset Park Corps,40.644711,-74.009683,0.0,1.0,0.0,1.0
5104370563,Gospel Tabernacle Church of Jesus Christ Inc.,40.648661,-73.955278,0.0,1.0,0.0,1.0
5104370564,First Presbyterian Church,40.696856,-73.993321,0.0,1.0,0.0,1.0
5104370565,Community Healthcare Network,40.676155,-73.899041,0.0,1.0,0.0,1.0
5104370566,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370567,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370568,Union Grove Missionary Baptist Church,40.832891,-73.889299,0.0,1.0,0.0,1.0
5104370569,Jewish Community Council of Pelham Parkway,40.855218,-73.86574,0.0,1.0,0.0,1.0
5104370570,BronxWorks-Morris Senior Center,40.855076,-73.904199,0.0,1.0,0.0,1.0
5104370571,Chambers Memorial Baptist Church,40.802141,-73.93614,0.0,1.0,0.0,1.0
5104370572,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370573,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370574,First United Christian Church,40.637775,-74.079776,0.0,1.0,0.0,1.0
5104370575,Staten Island Liberian Community,40.614572,-74.082129,0.0,1.0,0.0,1.0
5104370576,United Church of Praise Healthy Heart,40.614487,-74.085612,0.0,1.0,0.0,1.0
5104370577,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370740,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370741,Bnai Raphael Chesed Organization,40.619733,-73.937662,0.0,1.0,0.0,1.0
5104370743,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370744,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370745,Morris Brown AME Church,40.673662,-73.7935,0.0,1.0,0.0,1.0
5104370747,Mt. Olivet Gospel Church Food Pantry,40.756436,-73.871206,0.0,1.0,0.0,1.0
5104370748,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
5104370749,Food Bank for New York City,40.80594755,-73.87299938,0.0,1.0,0.0,1.0
