customer_id,customer_name,latitude,longitude,Friday,Monday,Thursday,Tuesday,Wednesday,Total_Pallets
1,Customer 001,40.82393494763585,-73.90903906592717,3.29,106.05,4.9,0.0,3.74,117.98
10,Customer 010,40.65654070000209,-73.91897014191731,0.0,14.63,0.58,0.53,0.48,16.22
11,Customer 011,40.652082455862505,-73.92481650340132,1.72,3.33,0.0,21.34,3.0700000000000003,29.46
12,Customer 012,40.636920669008184,-74.1652722110478,0.0,0.0,0.44,0.0,6.71,7.15
13,Customer 013,40.81574307418728,-73.9379714247544,0.0,0.68,0.63,18.88,0.0,20.19
14,Customer 014,40.76099884306126,-73.94084004193822,0.0,0.0,0.62,0.67,4.2,5.49
15,Customer 015,40.82239448550935,-73.91429829435131,1.0,14.15,0.0,13.94,12.17,41.26
16,Customer 016,40.854973107257365,-73.86437656576189,0.0,15.3,0.0,1.6099999999999999,0.55,17.46
17,Customer 017,40.68918573963909,-73.95966142657014,22.28,1.42,0.0,1.72,1.76,27.18
18,Customer 018,40.84297611177931,-73.84592385676613,0.0,105.37,101.75,0.0,104.0,311.12
19,Customer 019,40.778836484045,-73.98329931044094,0.0,0.0,0.0,0.0,21.43,21.43
2,Customer 002,40.70595191172637,-73.75457110312014,0.8200000000000001,0.7000000000000001,0.0,8.52,1.48,11.52
20,Customer 020,40.70811449489744,-73.79898444261066,0.0,14.129999999999999,0.0,0.0,0.41,14.54
21,Customer 021,40.68093339365346,-73.94670663597643,1.49,34.46,0.0,0.0,34.76,70.71
22,Customer 022,40.70649711069442,-73.756756602347,1.23,9.35,1.28,0.0,0.0,11.86
23,Customer 023,40.76091447600587,-73.88181045003793,1.32,0.99,28.790000000000003,0.9800000000000001,1.05,33.13
24,Customer 024,40.896883630705474,-73.85135085346376,0.0,0.0,0.0,0.0,18.04,18.04
25,Customer 025,40.69835136729073,-73.9158925078441,0.82,0.9,0.72,1.7999999999999998,19.79,24.03
26,Customer 026,40.67584687606802,-73.85557337127459,0.0,3.23,0.0,0.0,96.21,99.44
27,Customer 027,40.687360434885576,-73.98066195659537,1.96,7.54,0.0,0.0,0.0,9.5
28,Customer 028,40.71519521264396,-73.74349772371512,1.4,1.3599999999999999,0.0,14.13,0.86,17.75
